ROW_ID,Area,Perimeter,MajorAxis,MinorAxis,AspectRatio,Eccentricity,ConvexHullArea,EquivalentDiameter,BoundingBoxRatio,Convexity,Roundness,Compactness,StructureIndex1,StructureIndex2,StructureIndex3,StructureIndex4
0,171708,1535.0959999999998,552.185431222889,397.3292133395688,1.3897428446847568,0.6944327808667121,172804,467.5739682097211,0.7350671033198485,0.9936575542232818,0.9156496076390817,0.8467698381216172,0.003215839863156574,0.001019848584483374,0.7170191587525101,0.9964722453781845
1,80984,1080.886,414.67258213876516,252.43717122494965,1.6426763939976403,0.79335241960044,82866,321.1106215789699,0.7688159793422952,0.9772886346631912,0.8710624738791962,0.7743714810436011,0.005120426036485789,0.0011357513472180208,0.5996511906536603,0.985032855519346
2,66461,967.115,363.95563210737276,233.93365929817386,1.555807031785331,0.7660732870561247,67151,290.89649943346456,0.7834148641480521,0.9897246504147369,0.892936338274588,0.7992636293306361,0.005476228646986545,0.0013785468763619958,0.6388223491707805,0.9938843029015244
3,50542,914.947,376.1730738305985,172.35779221780754,2.182512719559733,0.8888555756977212,51326,253.67710395304618,0.6579447525319586,0.984725090597358,0.758700573714827,0.6743627377946892,0.0074427817227374965,0.0009494876184248576,0.4547651021259487,0.992530619801764
4,62157,985.188,409.62364760416256,193.84482022803877,2.113152402639812,0.8809407200598331,62633,281.31965871958454,0.5939399151473455,0.9924001724330624,0.8047512918602799,0.686775923130874,0.006590145077853863,0.0009043467527446869,0.47166116859226404,0.9966919316426441
5,66795,1067.697,363.0668916697189,234.76170913949377,1.5465336872887865,0.7628230306478666,68388,291.6265340989828,0.7819048064991923,0.9767064397262678,0.7363050401351431,0.803230866791001,0.005435539960621587,0.001395674079707517,0.645179825365823,0.9977923342873416
6,71482,1028.478,368.1825732284608,248.6883646792273,1.4804977856658637,0.7374071681763616,72669,301.68478439715665,0.7349351757605667,0.9836656621117671,0.8492128297077282,0.8193890920794841,0.0051507032991307015,0.0014322110136540998,0.6713984842188413,0.9940039691854117
7,47074,877.067,365.9280671614067,166.18814915642255,2.2018902612422826,0.8909225656589946,47846,244.81927687349915,0.6054689509697999,0.9838648998871379,0.7689983808913516,0.6690366190618336,0.007773464484883518,0.0009607135981569701,0.44760999764568926,0.9855880946507243
8,81209,1103.917,440.0177370373944,237.98179053141206,1.8489554854379284,0.8411216967230428,82641,321.5563872610803,0.8197629815069046,0.9826720393025253,0.8374158639478205,0.730780512226836,0.005418337093639799,0.000953221025479515,0.5340401570505168,0.9874164778226856
9,70626,995.2839999999999,375.0609852753166,241.0058327062073,1.5562319843624957,0.7662205126525902,71282,299.8729999290793,0.7398491514770584,0.9907971156813782,0.8959430999663317,0.7995313074457879,0.005310522828353816,0.0013386250246805132,0.6392503115859711,0.9948217809037794
10,69674,1015.7989999999999,400.52851201454763,224.17912614216098,1.7866449874577368,0.828689710839546,70720,297.8450806037893,0.7951655976809477,0.9852092760180996,0.8485257891343606,0.7436301578274939,0.005748607974489015,0.001084352368961192,0.5529858116305433,0.9879893284849585
11,75291,1077.8,420.5838860970547,230.7847279549058,1.822407790255665,0.8360031727035911,76797,309.6182787928632,0.7980137363802094,0.9803898589788663,0.8144727730581854,0.7361629606546911,0.005586111037136639,0.0010120108693015316,0.5419359046398803,0.9876282144349691
12,76057,1069.821,412.4555663761203,236.74616965765705,1.7421847499055423,0.818860950185393,77069,311.18929938852693,0.7419833178869324,0.9868689096783402,0.8350775682355521,0.7544795724850318,0.005422979691233158,0.001083946091672195,0.5692394252971966,0.9917202457977711
13,73789,1033.589,402.75519276306784,234.87821619321204,1.714740512299188,0.8123439548603092,74581,306.514392429561,0.8086908871718999,0.9893806733618482,0.8679720318988192,0.7610439242924343,0.005458200988806839,0.0011294530412497977,0.5791878547024285,0.9931568786899099
